[   9344]   INFO - il.indexing.FileBasedIndexImpl - Scheduling indexing of file:///home/andrei/Desktop/community/out/production/relaxng/resources/patches/0006_xhtml5_namespace.patch by request of index FrameworkDetectionIndex 
[   9344]   INFO - il.indexing.FileBasedIndexImpl - Scheduling indexing of file:///home/andrei/Desktop/community/out/production/relaxng/resources/relaxng.rng by request of index fileIncludes 
[   9349]   INFO - il.indexing.FileBasedIndexImpl - Scheduling indexing of file:///home/andrei/Desktop/community/out/production/xml-psi-impl/standardSchemas/xhtml11/xhtml-ruby-1.mod by request of index FrameworkDetectionIndex 
[   9350]   INFO - il.indexing.FileBasedIndexImpl - Scheduling indexing of file:///home/andrei/Desktop/community/out/production/relaxng/resources/html5-schema/rdf/rdf.rnc by request of index fileIncludes 
[   9352]   INFO - il.indexing.FileBasedIndexImpl - Scheduling indexing of file:///home/andrei/Desktop/community/out/production/xml-psi-impl/standardSchemas/xhtml11/xhtml-symbol.ent by request of index FrameworkDetectionIndex 
[   9353]   INFO - il.indexing.FileBasedIndexImpl - Scheduling indexing of file:///home/andrei/Desktop/community/out/production/xml-psi-impl/standardSchemas/xhtml11/xhtml-text-1.mod by request of index FrameworkDetectionIndex 
[   9354]   INFO - il.indexing.FileBasedIndexImpl - Scheduling indexing of file:///home/andrei/Desktop/community/out/production/xml-psi-impl/standardSchemas/xhtml11/xhtml-image-1.mod by request of index FrameworkDetectionIndex 
[   9354]   INFO - il.indexing.FileBasedIndexImpl - Scheduling indexing of file:///home/andrei/Desktop/community/out/production/relaxng/resources/html5-schema/its2/its20-html5.rnc by request of index fileIncludes 
[   9354]   INFO - il.indexing.FileBasedIndexImpl - Scheduling indexing of file:///home/andrei/Desktop/community/out/production/xml-psi-impl/standardSchemas/xhtml11/xhtml-param-1.mod by request of index FrameworkDetectionIndex 
[   9355]   INFO - il.indexing.FileBasedIndexImpl - Scheduling indexing of file:///home/andrei/Desktop/community/out/production/relaxng/resources/html5-schema/its2/its20-html5-types.rnc by request of index fileIncludes 
[   9355]   INFO - il.indexing.FileBasedIndexImpl - Scheduling indexing of file:///home/andrei/Desktop/community/out/production/xml-psi-impl/standardSchemas/xhtml11/xhtml-qname-1.mod by request of index FrameworkDetectionIndex 
[   9356]   INFO - il.indexing.FileBasedIndexImpl - Scheduling indexing of file:///home/andrei/Desktop/community/out/production/xml-psi-impl/standardSchemas/xhtml11/xhtml-special.ent by request of index FrameworkDetectionIndex 
